Feature,Importance
Redsupwr,0.055561699212112015
Redmidwr,0.046227580203463396
Bluejngwr,0.04379406964125984
Bluebotwr,0.04050494426022706
Bluemidwr,0.03957995127431076
Bluesupwr,0.03885739885633279
Redbotwr,0.0382451496396525
Redjngwr,0.03676397787559058
Bluetopwr,0.03513081382859774
Redtopwr,0.033723502273859535
Bluemidkda15,0.02511166578120295
Bluetopkda15,0.021492608993080767
Redjngkda15,0.02001770152891484
Redbotkda15,0.019548402140536804
Redmidkda15,0.01924030206039918
Redtopkda15,0.01699408577293759
Bluebotkda15,0.01658772480414443
Bluemidgolddiffat15,0.016412105425712174
Redtopgolddiffat10,0.01561107830699766
Bluejngkda15,0.015527777257840698
Bluetopgolddiffat10,0.015341568532371105
Bluebotgolddiffat15,0.014899715161942629
Redsupkda15,0.014605889008525724
Redtopgolddiffat15,0.013971882127517987
Bluetopgolddiffat15,0.013955772377430955
Redjnggolddiffat10,0.013954364641848262
Redmidgolddiffat15,0.013862366065049876
Bluejnggolddiffat15,0.01314630648516179
Redbotgolddiffat15,0.012954003420683488
Redsupgolddiffat10,0.012836285488524122
Bluebotgolddiffat10,0.012756690244835455
Redjnggolddiffat15,0.012658900607351278
Redsupgolddiffat15,0.012494303133622646
Bluesupgolddiffat15,0.012486539866494964
Redmidgolddiffat10,0.012481916270200667
Bluemidgolddiffat10,0.01239029360996445
Redbotgolddiffat10,0.012238194478213425
Bluesupgolddiffat10,0.011955813964163231
Bluejnggolddiffat10,0.01165889552544131
Bluesupkda15,0.010137980512694189
Bluebotkda10,0.009063060035792209
Bluejnggp,0.009008928263094584
Bluebotgp,0.008806170939108892
Redbotgp,0.008288229102439381
Redmidgp,0.007617241179303724
Bluetopgp,0.007615569495497838
Redtopgp,0.007558850281307249
Bluemidgp,0.007471536570233044
Bluetopkda10,0.007373268348145906
Bluesupgp,0.007325106839670903
Bluejngkda10,0.007068341521930095
Redbotkda10,0.006835705164950397
Bluemidkda10,0.006705121722820794
Redsupgp,0.006653907145750205
Redjngkda10,0.006630166813528041
Redjnggp,0.006585950311529546
Redmidkda10,0.006566514616180559
Bluesupkda10,0.005859995531784838
Redsupkda10,0.005695119765203388
Redtopkda10,0.0055509956925175585
