Feature,Importance
Bluejngwr,0.10418695370847379
Redsupwr,0.10244596730949293
Redmidwr,0.09759558225539092
Bluesupwr,0.09261371047121152
Bluemidwr,0.09146768881685148
Bluebotwr,0.09072120482926045
Redtopwr,0.08815338034043445
Bluetopwr,0.08282755099644717
Redbotwr,0.07415102959898184
Redjngwr,0.06952242175084399
Bluetopkda,0.016890851891585533
Redbotkda,0.012020675215411366
Bluebotkda,0.009150928591723997
Bluemidkda,0.008851773400179713
Redmidkda,0.006698842267930453
Redtopkda,0.006268991428116975
Redjngkda,0.004686432632035582
Bluejngkda,0.00399545468674451
Bluejnggp,0.0039347046399018735
Redjnggp,0.0034726860608698855
Redsupkda,0.0034000719033129233
Redtopgp,0.003353588194924518
Bluesupgp,0.003282328088215838
Bluebotgp,0.0032822689245792765
Redmidgp,0.002961506276364368
Redsupgp,0.0029444848683288995
Bluetopgp,0.0028918986935370515
Bluemidgp,0.0028651359637395673
Redbotgp,0.002795186770703718
Bluesupkda,0.002566699424405587
