gameid,Bluetopgp,Bluetopwr,Bluetopkda,result,Redtopgp,Redtopwr,Redtopkda,Bluejngp,Bluejngwr,Bluejngkda,Redjnggp,Redjngwr,Redjngkda,Bluemidgp,Bluemidwr,Bluemidkda,Redmidgp,Redmidwr,Redmidkda,Bluebotgp,Bluebotwr,Bluebotkda,Redbotgp,Redbotwr,Redbotkda,Bluesupgp,Bluesupwr,Bluesupkda,Redsupgp,Redsupwr,Redsupkda
10660-10660_game_1,8.0,0.38,0.33,0.0,4.0,0.5,4.0,7.0,0.57,0.0,4.0,0.25,1.0,6.0,0.0,0.0,3.0,0.67,4.0,5.0,0.2,0.5,11.0,0.36,7.0,1.0,0.0,0.0,6.0,0.67,0.0
10660-10660_game_2,1.0,0.0,0.67,0.0,5.0,0.6,6.0,4.0,0.5,0.0,3.0,1.0,1.0,5.0,0.2,0.25,3.0,0.67,4.0,10.0,0.6,0.0,8.0,0.38,4.0,2.0,0.5,0.0,6.0,0.5,1.0
10660-10660_game_3,4.0,0.25,2.0,1.0,15.0,0.13,0.0,4.0,0.5,0.0,3.0,0.0,0.0,5.0,0.2,0.25,5.0,0.0,0.4,3.0,0.33,3.0,8.0,0.38,4.0,1.0,1.0,1.0,6.0,0.67,0.0
10660-10660_game_4,4.0,0.5,4.0,1.0,8.0,0.38,0.33,3.0,1.0,1.0,1.0,0.0,0.25,4.0,0.75,0.5,6.0,0.0,0.0,4.0,0.25,4.0,5.0,0.2,0.5,6.0,0.67,0.0,1.0,0.0,1.0
10661-10661_game_1,5.0,0.6,2.0,1.0,15.0,0.67,1.5,11.0,0.45,0.8,15.0,0.53,0.29,10.0,0.9,3.5,3.0,0.0,2.33,15.0,0.73,2.5,13.0,0.77,0.4,10.0,0.5,0.0,5.0,0.4,0.75
10661-10661_game_2,5.0,1.0,8.0,1.0,1.0,0.0,0.33,4.0,0.75,1.0,6.0,0.5,0.2,1.0,1.0,1.5,3.0,0.33,0.5,13.0,0.77,0.4,7.0,0.71,1.0,5.0,0.4,0.75,9.0,0.89,0.0
10661-10661_game_3,6.0,1.0,11.0,1.0,15.0,0.67,1.5,5.0,1.0,2.67,15.0,0.53,0.29,12.0,0.5,2.5,3.0,0.0,2.33,11.0,0.36,3.0,9.0,0.78,0.0,3.0,0.67,0.0,6.0,0.67,0.25
10661-10661_game_4,3.0,0.33,4.0,1.0,5.0,0.6,2.0,2.0,1.0,5.0,2.0,0.5,0.0,8.0,0.62,5.0,12.0,0.5,2.5,13.0,0.77,0.4,11.0,0.36,3.0,9.0,0.89,0.0,4.0,0.25,0.0
10661-10661_game_5,6.0,1.0,11.0,1.0,3.0,0.33,0.5,11.0,0.45,0.8,15.0,0.53,0.29,12.0,0.5,2.5,1.0,0.0,0.29,13.0,0.77,5.0,5.0,0.6,1.5,10.0,0.9,0.33,5.0,0.4,0.75
10662-10662_game_1,5.0,0.2,0.0,0.0,6.0,0.83,4.0,4.0,0.5,1.0,1.0,1.0,2.0,6.0,0.33,0.67,3.0,0.67,4.0,4.0,0.0,0.5,8.0,1.0,5.0,2.0,0.0,0.33,7.0,0.86,0.25
10662-10662_game_2,12.0,0.42,0.0,0.0,9.0,0.78,5.0,1.0,0.0,0.75,8.0,0.88,2.5,1.0,0.0,0.0,5.0,0.6,1.5,6.0,0.17,0.2,4.0,0.5,5.0,6.0,0.33,0.5,4.0,0.5,1.0
10662-10662_game_3,12.0,0.42,0.0,0.0,2.0,1.0,1.0,6.0,0.5,0.6,12.0,0.67,1.0,6.0,0.33,0.67,3.0,0.67,4.0,4.0,0.0,0.5,8.0,1.0,5.0,2.0,0.0,0.33,7.0,0.86,0.25
10663-10663_game_1,15.0,0.13,0.0,0.0,6.0,1.0,11.0,4.0,0.0,0.33,6.0,0.5,0.2,5.0,0.2,0.75,10.0,0.9,3.5,4.0,0.25,4.0,15.0,0.73,2.5,2.0,0.0,0.0,3.0,0.67,0.0
10663-10663_game_2,15.0,0.13,0.0,0.0,6.0,1.0,11.0,1.0,0.0,1.0,6.0,0.5,0.2,5.0,0.0,0.4,3.0,0.33,0.5,11.0,0.36,7.0,1.0,1.0,2.5,7.0,0.43,0.0,2.0,1.0,0.0
10663-10663_game_3,6.0,1.0,11.0,1.0,15.0,0.13,0.0,11.0,0.45,0.8,2.0,0.0,0.5,12.0,0.5,2.5,3.0,0.33,1.0,13.0,0.77,5.0,4.0,0.25,4.0,4.0,0.25,0.0,3.0,0.33,0.0
10664-10664_game_1,1.0,0.0,2.0,0.0,11.0,0.73,5.0,6.0,0.5,0.2,12.0,0.67,1.0,3.0,0.33,0.5,8.0,1.0,0.33,1.0,0.0,0.25,8.0,0.75,1.25,6.0,0.33,0.0,12.0,0.75,1.0
10664-10664_game_2,6.0,1.0,2.0,1.0,1.0,0.0,0.0,5.0,1.0,5.0,11.0,0.45,0.8,8.0,1.0,9.0,1.0,0.0,0.0,4.0,0.75,5.0,15.0,0.73,2.5,12.0,0.75,1.0,6.0,0.33,0.0
10664-10664_game_3,3.0,0.33,0.5,0.0,2.0,0.5,1.0,11.0,0.45,0.8,8.0,0.88,2.5,12.0,0.5,2.5,3.0,1.0,11.0,13.0,0.77,5.0,4.0,0.75,5.0,4.0,0.25,0.0,12.0,0.75,1.0
