gameid,Bluetopgp,Bluetopwr,Bluetopkda10,Bluetopkda15,Bluetopgolddiffat10,Bluetopgolddiffat15,Redtopgp,Redtopwr,Redtopkda10,Redtopkda15,Redtopgolddiffat10,Redtopgolddiffat15,Bluejnggp,Bluejngwr,Bluejngkda10,Bluejngkda15,Bluejnggolddiffat10,Bluejnggolddiffat15,Redjnggp,Redjngwr,Redjngkda10,Redjngkda15,Redjnggolddiffat10,Redjnggolddiffat15,Bluemidgp,Bluemidwr,Bluemidkda10,Bluemidkda15,Bluemidgolddiffat10,Bluemidgolddiffat15,Redmidgp,Redmidwr,Redmidkda10,Redmidkda15,Redmidgolddiffat10,Redmidgolddiffat15,Bluebotgp,Bluebotwr,Bluebotkda10,Bluebotkda15,Bluebotgolddiffat10,Bluebotgolddiffat15,Redbotgp,Redbotwr,Redbotkda10,Redbotkda15,Redbotgolddiffat10,Redbotgolddiffat15,Bluesupgp,Bluesupwr,Bluesupkda10,Bluesupkda15,Bluesupgolddiffat10,Bluesupgolddiffat15,Redsupgp,Redsupwr,Redsupkda10,Redsupkda15,Redsupgolddiffat10,Redsupgolddiffat15,firsttower,firstblood,firstherald,firstbaron,firstdragon,result
10660-10660_game_1,8.0,0.38,,1.62,,,4.0,0.5,,1.67,,,7.0,0.57,,0.1,,,4.0,0.25,,0.15,,,6.0,0.0,,0.71,,,3.0,0.67,,2.2,,,5.0,0.2,,0.67,,,11.0,0.36,,1.07,,,1.0,0.0,,0.0,,,6.0,0.67,,0.29,,,,0.0,,,,0.0
10660-10660_game_2,1.0,0.0,,0.67,,,5.0,0.6,,2.75,,,4.0,0.5,,1.0,,,3.0,1.0,,0.86,,,5.0,0.2,,0.68,,,3.0,0.67,,2.2,,,10.0,0.6,,1.65,,,8.0,0.38,,1.17,,,2.0,0.5,,0.0,,,6.0,0.5,,0.13,,,,0.0,,,,0.0
10660-10660_game_3,4.0,0.25,,2.0,,,15.0,0.13,,0.6,,,4.0,0.5,,1.0,,,3.0,0.0,,0.07,,,5.0,0.2,,0.68,,,5.0,0.0,,0.5,,,3.0,0.33,,1.0,,,8.0,0.38,,1.17,,,1.0,1.0,,1.0,,,6.0,0.67,,0.29,,,,1.0,,,,1.0
10660-10660_game_4,4.0,0.5,,1.67,,,8.0,0.38,,1.62,,,3.0,1.0,,0.86,,,1.0,0.0,,0.25,,,4.0,0.75,,2.33,,,6.0,0.0,,0.71,,,4.0,0.25,,0.92,,,5.0,0.2,,0.67,,,6.0,0.67,,0.29,,,1.0,0.0,,1.0,,,,1.0,,,,1.0
10661-10661_game_1,5.0,0.6,,1.09,,,15.0,0.67,,1.62,,,11.0,0.45,,0.92,,,15.0,0.53,,1.02,,,10.0,0.9,,2.17,,,3.0,0.0,,1.1,,,15.0,0.73,,2.5,,,13.0,0.77,,1.32,,,10.0,0.5,,0.13,,,5.0,0.4,,0.42,,,,1.0,,,,1.0
10661-10661_game_2,5.0,1.0,,5.0,,,1.0,0.0,,0.33,,,4.0,0.75,,1.4,,,6.0,0.5,,0.79,,,1.0,1.0,,1.5,,,3.0,0.33,,1.11,,,13.0,0.77,,1.32,,,7.0,0.71,,2.46,,,5.0,0.4,,0.42,,,9.0,0.89,,0.38,,,,0.0,,,,1.0
10661-10661_game_3,6.0,1.0,,3.0,,,15.0,0.67,,1.62,,,5.0,1.0,,1.47,,,15.0,0.53,,1.02,,,12.0,0.5,,1.19,,,3.0,0.0,,1.1,,,11.0,0.36,,1.03,,,9.0,0.78,,1.29,,,3.0,0.67,,0.17,,,6.0,0.67,,0.85,,,,1.0,,,,1.0
10661-10661_game_4,3.0,0.33,,1.4,,,5.0,0.6,,1.09,,,2.0,1.0,,3.5,,,2.0,0.5,,1.0,,,8.0,0.62,,2.75,,,12.0,0.5,,1.19,,,13.0,0.77,,1.32,,,11.0,0.36,,1.03,,,9.0,0.89,,0.33,,,4.0,0.25,,0.0,,,,1.0,,,,1.0
10661-10661_game_5,6.0,1.0,,3.0,,,3.0,0.33,,0.58,,,11.0,0.45,,0.92,,,15.0,0.53,,1.02,,,12.0,0.5,,1.19,,,1.0,0.0,,0.29,,,13.0,0.77,,2.16,,,5.0,0.6,,1.55,,,10.0,0.9,,0.24,,,5.0,0.4,,0.42,,,,0.0,,,,1.0
10662-10662_game_1,5.0,0.2,,0.5,,,6.0,0.83,,1.08,,,4.0,0.5,,1.1,,,1.0,1.0,,2.0,,,6.0,0.33,,1.54,,,3.0,0.67,,1.88,,,4.0,0.0,,0.4,,,8.0,1.0,,3.13,,,2.0,0.0,,0.29,,,7.0,0.86,,0.71,,,,0.0,,,,0.0
10662-10662_game_2,12.0,0.42,,0.72,,,9.0,0.78,,1.35,,,1.0,0.0,,0.75,,,8.0,0.88,,2.0,,,1.0,0.0,,0.0,,,5.0,0.6,,1.64,,,6.0,0.17,,0.71,,,4.0,0.5,,2.29,,,6.0,0.33,,0.08,,,4.0,0.5,,0.38,,,,0.0,,,,0.0
10662-10662_game_3,12.0,0.42,,0.72,,,2.0,1.0,,1.33,,,6.0,0.5,,0.94,,,12.0,0.67,,0.86,,,6.0,0.33,,1.54,,,3.0,0.67,,1.88,,,4.0,0.0,,0.4,,,8.0,1.0,,3.13,,,2.0,0.0,,0.29,,,7.0,0.86,,0.71,,,,0.0,,,,0.0
10663-10663_game_1,15.0,0.13,,0.6,,,6.0,1.0,,3.0,,,4.0,0.0,,0.28,,,6.0,0.5,,0.79,,,5.0,0.2,,1.06,,,10.0,0.9,,2.17,,,4.0,0.25,,0.92,,,15.0,0.73,,2.5,,,2.0,0.0,,0.11,,,3.0,0.67,,0.0,,,,1.0,,,,0.0
10663-10663_game_2,15.0,0.13,,0.6,,,6.0,1.0,,3.0,,,1.0,0.0,,1.0,,,6.0,0.5,,0.79,,,5.0,0.0,,0.5,,,3.0,0.33,,1.11,,,11.0,0.36,,1.07,,,1.0,1.0,,2.5,,,7.0,0.43,,0.0,,,2.0,1.0,,0.0,,,,0.0,,,,0.0
10663-10663_game_3,6.0,1.0,,3.0,,,15.0,0.13,,0.6,,,11.0,0.45,,0.92,,,2.0,0.0,,0.8,,,12.0,0.5,,1.19,,,3.0,0.33,,1.43,,,13.0,0.77,,2.16,,,4.0,0.25,,0.92,,,4.0,0.25,,0.0,,,3.0,0.33,,0.21,,,,0.0,,,,1.0
10664-10664_game_1,1.0,0.0,,2.0,,,11.0,0.73,,2.05,,,6.0,0.5,,0.79,,,12.0,0.67,,0.86,,,3.0,0.33,,1.11,,,8.0,1.0,,1.1,,,1.0,0.0,,0.25,,,8.0,0.75,,2.3,,,6.0,0.33,,0.2,,,12.0,0.75,,0.28,,,,0.0,,,,0.0
10664-10664_game_2,6.0,1.0,,1.25,,,1.0,0.0,,0.0,,,5.0,1.0,,4.8,,,11.0,0.45,,0.92,,,8.0,1.0,,7.5,,,1.0,0.0,,0.0,,,4.0,0.75,,1.4,,,15.0,0.73,,2.5,,,12.0,0.75,,0.28,,,6.0,0.33,,0.2,,,,1.0,,,,1.0
10664-10664_game_3,3.0,0.33,,0.3,,,2.0,0.5,,0.88,,,11.0,0.45,,0.92,,,8.0,0.88,,2.0,,,12.0,0.5,,1.19,,,3.0,1.0,,3.5,,,13.0,0.77,,2.16,,,4.0,0.75,,1.4,,,4.0,0.25,,0.0,,,12.0,0.75,,0.28,,,,1.0,,,,0.0
LOLTMNT06_13630,7.0,0.57,0.5,1.0,86.43,-355.71,2.0,0.5,0.0,0.4,-1275.0,-1920.5,1.0,0.0,1.0,1.0,-27.0,-378.0,7.0,0.71,0.62,0.95,-101.0,298.14,1.0,0.0,0.0,0.67,-545.0,279.0,4.0,0.75,0.0,0.8,141.0,-107.25,2.0,0.0,0.67,0.83,235.5,373.0,6.0,0.67,1.0,1.44,268.83,-73.0,1.0,0.0,0.0,0.25,-216.0,-75.0,4.0,1.0,0.25,0.45,294.75,364.75,1.0,1.0,0.0,0.0,0.0,0.0
LOLTMNT06_12701,3.0,0.0,0.33,0.67,297.67,124.67,1.0,1.0,0.0,6.0,197.0,136.0,1.0,0.0,0.0,0.0,-252.0,-342.0,6.0,0.17,0.38,0.43,-226.33,-259.83,3.0,0.33,0.25,0.73,-104.67,91.33,9.0,0.56,0.33,1.13,-42.0,-26.89,3.0,0.33,0.67,2.43,57.67,-168.33,1.0,1.0,0.0,5.0,-212.0,-639.0,4.0,0.25,0.0,0.27,-162.0,-32.25,2.0,0.5,0.0,0.33,120.5,345.0,1.0,0.0,0.0,0.0,1.0,0.0
LOLTMNT06_13667,1.0,0.0,0.0,0.0,-71.0,-175.0,17.0,0.59,0.71,1.35,165.88,318.29,1.0,0.0,0.0,0.43,-583.0,-227.0,8.0,0.62,0.88,0.96,147.0,365.38,4.0,0.25,0.25,0.88,142.25,91.5,1.0,1.0,0.0,1.0,214.0,391.0,2.0,0.0,0.5,1.4,-26.5,182.0,2.0,0.5,0.0,1.14,-805.0,-896.5,1.0,0.0,0.0,0.2,-2.0,-10.0,3.0,0.67,0.25,0.38,248.67,222.33,1.0,0.0,0.0,1.0,1.0,0.0
LOLTMNT06_12743,2.0,0.0,0.0,1.2,-388.5,-770.5,4.0,0.5,0.0,0.78,-219.75,-752.75,10.0,0.7,0.73,0.45,-65.8,-218.5,6.0,0.5,0.67,0.64,84.5,-104.67,3.0,0.33,0.0,1.29,-90.67,367.33,2.0,0.5,0.0,0.67,-71.5,-211.0,3.0,0.33,1.5,1.08,110.33,-41.67,2.0,0.5,1.5,2.14,588.0,768.5,3.0,0.67,0.2,0.38,-221.0,-36.0,2.0,0.5,1.0,0.33,280.5,143.0,1.0,0.0,0.0,0.0,0.0,0.0
