gameid,side,position,teamname,teamid,result,firstblood,team kpm,firstdragon,firstherald,firstbaron,firsttower
10660-10660_game_1,Blue,team,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0.0,0.0954,,,,
10660-10660_game_1,Red,team,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1.0,0.509,,,,
10660-10660_game_2,Blue,team,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0.0,0.0942,,,,
10660-10660_game_2,Red,team,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1.0,0.5338,,,,
10660-10660_game_3,Blue,team,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,1,1.0,0.9517,,,,
10660-10660_game_3,Red,team,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0.0,0.136,,,,
10660-10660_game_4,Blue,team,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,1,1.0,0.502,,,,
10660-10660_game_4,Red,team,LNG Esports,oe:team:a9145b7711873f53e610fbba0493484,0,0.0,0.2657,,,,
10661-10661_game_1,Blue,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,1.0,0.6021,,,,
10661-10661_game_1,Red,team,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,0.0,0.5236,,,,
10661-10661_game_2,Blue,team,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,1,0.0,0.5898,,,,
10661-10661_game_2,Red,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,1.0,0.2145,,,,
10661-10661_game_3,Blue,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,1.0,0.7514,,,,
10661-10661_game_3,Red,team,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,0.0,0.2505,,,,
10661-10661_game_4,Blue,team,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,1,1.0,0.6296,,,,
10661-10661_game_4,Red,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0.0,0.1111,,,,
10661-10661_game_5,Blue,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0.0,0.5482,,,,
10661-10661_game_5,Red,team,Top Esports,oe:team:fcec508e780bbd1ad493852640f5b36,0,1.0,0.3488,,,,
10662-10662_game_1,Blue,team,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,0.0,0.2215,,,,
10662-10662_game_1,Red,team,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.5908,,,,
10662-10662_game_2,Blue,team,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,0.0,0.2149,,,,
10662-10662_game_2,Red,team,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.8166,,,,
10662-10662_game_3,Blue,team,Ninjas in Pyjamas,oe:team:48d7941ccbd5b89aca46c57b0c2f8fb,0,0.0,0.5176,,,,
10662-10662_game_3,Red,team,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,1.0351,,,,
10663-10663_game_1,Blue,team,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,1.0,0.314,,,,
10663-10663_game_1,Red,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0.0,0.7326,,,,
10663-10663_game_2,Blue,team,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,0.0,0.1826,,,,
10663-10663_game_2,Red,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,1.0,0.426,,,,
10663-10663_game_3,Blue,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,1,0.0,0.4457,,,,
10663-10663_game_3,Red,team,Rare Atom,oe:team:8516ca63facc91286d6c00212ca945e,0,1.0,0.1371,,,,
10664-10664_game_1,Blue,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0.0,0.3958,,,,
10664-10664_game_1,Red,team,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.5937,,,,
10664-10664_game_2,Blue,team,Bilibili Gaming,oe:team:d356a144644879dabb5f34cd99c886d,1,1.0,0.8981,,,,
10664-10664_game_2,Red,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,0.0,0.0855,,,,
10664-10664_game_3,Blue,team,JD Gaming,oe:team:b42d0f31f2727621b963042276817c4,0,1.0,0.3221,,,,
